1,AEROD_v         ,1,2D,Total Aerosol Optical Depth in visible band
2,ANRAIN          ,m-3                ,3D,Average rain number conc
3,ANSNOW          ,m-3                ,3D,Average snow number conc
4,AODABS          ,1,2D,Aerosol absorption optical depth 550 nm
5,AODABSBC        ,1,2D,Aerosol absorption optical depth 550 nm from BC
6,AODBC           ,1,2D,Aerosol optical depth 550 nm from BC
7,AODDUST         ,1,2D,Aerosol optical depth 550 nm from dust
8,AODDUST1        ,1,2D,Aerosol optical depth 550 nm model 1 from dust
9,AODDUST3        ,1,2D,Aerosol optical depth 550 nm model 3 from dust
10,AODDUST4        ,1,2D,Aerosol optical depth 550 nm model 4 from dust
11,AODMODE1        ,1,2D,Aerosol optical depth 550 nm mode 1
12,AODMODE2        ,1,2D,Aerosol optical depth 550 nm mode 2
13,AODMODE3        ,1,2D,Aerosol optical depth 550 nm mode 3
14,AODMODE4        ,1,2D,Aerosol optical depth 550 nm mode 4
15,AODNIR          ,1,2D,Aerosol optical depth 850 nm
16,AODPOM          ,1,2D,Aerosol optical depth 550 nm from POM
17,AODSO4          ,1,2D,Aerosol optical depth 550 nm from SO4
18,AODSOA          ,1,2D,Aerosol optical depth 550 nm from SOA
19,AODSS           ,1,2D,Aerosol optical depth 550 nm from seasalt
20,AODUV           ,1,2D,Aerosol optical depth 350 nm
21,AODVIS          ,1,2D,Aerosol optical depth 550 nm
22,AQRAIN          ,kg/kg              ,3D,Average rain mixing ratio
23,AQSNOW          ,kg/kg              ,3D,Average snow mixing ratio
24,AQ_DMS          ,kg/m2/s            ,2D,DMS aqueous chemistry (for gas species)
25,AQ_H2O2         ,kg/m2/s            ,2D,H2O2 aqueous chemistry (for gas species)
26,AQ_H2SO4        ,kg/m2/s            ,2D,H2SO4 aqueous chemistry (for gas species)
27,AQ_O3           ,kg/m2/s            ,2D,O3 aqueous chemistry (for gas species)
28,AQ_SO2          ,kg/m2/s            ,2D,SO2 aqueous chemistry (for gas species)
29,AQ_SOAG         ,kg/m2/s            ,2D,SOAG aqueous chemistry (for gas species)
30,AREI            ,Micron             ,3D,Average ice effective radius
31,AREL            ,Micron             ,3D,Average droplet effective radius
32,AWNC            ,m-3                ,3D,Average cloud water number conc
33,AWNI            ,m-3                ,3D,Average cloud ice number conc
34,CCN3            ,#/cm3              ,3D,CCN concentration at S=0.1%
35,CDNUMC          ,1/m2               ,2D,Vertically-integrated droplet concentration
36,CFAD_SR532_CAL  ,fraction       , S,Lidar Scattering Ratio CFAD (532 nm)
37,CLDHGH          ,fraction           ,2D,Vertically-integrated high cloud
38,CLDHGH_CAL      ,percent            ,2D,Lidar High-level Cloud Fraction
39,CLDHGH_CAL_ICE  ,percent            ,2D,Lidar High-level Ice Cloud Fraction
40,CLDHGH_CAL_LIQ  ,percent            ,2D,Lidar High-level Liquid Cloud Fraction
41,CLDHGH_CAL_UN   ,percent            ,2D,Lidar High-level Undefined-Phase Cloud Fraction
42,CLDICE          ,kg/kg              ,3D,Grid box averaged cloud ice amount
43,CLDLIQ          ,kg/kg              ,3D,Grid box averaged cloud liquid amount
44,CLDLOW          ,fraction           ,2D,Vertically-integrated low cloud
45,CLDLOW_CAL      ,percent            ,2D,Lidar Low-level Cloud Fraction
46,CLDLOW_CAL_ICE  ,percent            ,2D,Lidar Low-level Ice Cloud Fraction
47,CLDLOW_CAL_LIQ  ,percent            ,2D,Lidar Low-level Liquid Cloud Fraction
48,CLDLOW_CAL_UN   ,percent            ,2D,Lidar Low-level Undefined-Phase Cloud Fraction
49,CLDMED          ,fraction           ,2D,Vertically-integrated mid-level cloud
50,CLDMED_CAL      ,percent            ,2D,Lidar Mid-level Cloud Fraction
51,CLDMED_CAL_ICE  ,percent            ,2D,Lidar Mid-level Ice Cloud Fraction
52,CLDMED_CAL_LIQ  ,percent            ,2D,Lidar Mid-level Liquid Cloud Fraction
53,CLDMED_CAL_UN   ,percent            ,2D,Lidar Mid-level Undefined-Phase Cloud Fraction
54,CLDTOT          ,fraction           ,2D,Vertically-integrated total cloud
55,CLDTOT_CAL      ,percent            ,2D,Lidar Total Cloud Fraction
56,CLDTOT_CAL_ICE  ,percent            ,2D,Lidar Total Ice Cloud Fraction
57,CLDTOT_CAL_LIQ  ,percent            ,2D,Lidar Total Liquid Cloud Fraction
58,CLDTOT_CAL_UN   ,percent            ,2D,Lidar Total Undefined-Phase Cloud Fraction
59,CLDTOT_ISCCP    ,percent            ,2D,Total Cloud Fraction Calculated by the ISCCP Simulator
60,CLD_MISR        ,percent            ,S,"Cloud Fraction from MISR Simulator, dimension(time, cosp_htmisr, cosp_tau, lat, lon)"
61,CLHMODIS        ,%                  ,2D,MODIS High Level Cloud Fraction
62,CLIMODIS        ,%                  ,2D,MODIS Ice Cloud Fraction
63,CLLMODIS        ,%                  ,2D,MODIS Low Level Cloud Fraction
64,CLMMODIS        ,%                  ,2D,MODIS Mid Level Cloud Fraction
65,CLMODIS         ,%                  ,S,"MODIS Cloud Area Fraction, dimension(time, cosp_prs, cosp_tau_modis, lat, lon)"
66,CLOUD           ,fraction           ,3D,Cloud fraction
67,CLOUDFRAC_CLUBB ,fraction           ,3D,Cloud Fraction
68,CLTMODIS        ,%                  ,2D,MODIS Total Cloud Fraction
69,CLWMODIS        ,%                  ,2D,MODIS Liquid Cloud Fraction
70,CONCLD          ,fraction           ,3D,Convective cloud cover
71,DCQ             ,kg/kg/s            ,3D,Q tendency due to moist processes
72,DF_DMS          ,kg/m2/s            ,2D,dry deposition flux
73,DF_H2O2         ,kg/m2/s            ,2D,dry deposition flux
74,DF_H2SO4        ,kg/m2/s            ,2D,dry deposition flux
75,DF_O3           ,kg/m2/s            ,2D,dry deposition flux
76,DF_SO2          ,kg/m2/s            ,2D,dry deposition flux
77,DF_SOAG         ,kg/m2/s            ,2D,dry deposition flux
78,DMS_SRF         ,mol/mol            ,2D,DMS in bottom layer
79,DP_KCLDBASE     ,1,2D,Deep conv. cloudbase level index
80,DP_MFUP_MAX     ,kg/m2              ,2D,Deep conv. column-max updraft mass flux
81,DP_WCLDBASE     ,m/s                ,2D,Deep conv. cloudbase vertical velocity
82,DSTSFMBL        ,kg/m2/s            ,2D,Mobilization flux at surface
83,DTCOND          ,K/s                ,3D,T tendency - moist processes
84,DTENDTH         ,W/m2               ,2D,Dynamic Tendency of Total (vertically integrated) moist static energy
85,DTENDTQ         ,kg/m2/s            ,2D,Dynamic Tendency of Total (vertically integrated) specific humidity
86,EXTINCT         ,/m                 ,3D,Aerosol extinction
87,FICE            ,fraction           ,3D,Fractional ice content within cloud
88,FISCCP1_COSP    ,percent            ,S,"Grid-box fraction covered by each ISCCP D level cloud type, dimension(time, cosp_prs, cosp_tau, lat, lon)"
89,FLDS            ,W/m2               ,2D,Downwelling longwave flux at surface
90,FLNS            ,W/m2               ,2D,Net longwave flux at surface
91,FLNSC           ,W/m2               ,2D,Clearsky net longwave flux at surface
92,FLNT            ,W/m2               ,2D,Net longwave flux at top of model
93,FLNTC           ,W/m2               ,2D,Clearsky net longwave flux at top of model
94,FLUT            ,W/m2               ,2D,Upwelling longwave flux at top of model
95,FLUTC           ,W/m2               ,2D,Clearsky upwelling longwave flux at top of model
96,FREQI           ,fraction           ,3D,Fractional occurrence of ice
97,FREQL           ,fraction           ,3D,Fractional occurrence of liquid
98,FREQR           ,fraction           ,3D,Fractional occurrence of rain
99,FREQS           ,fraction           ,3D,Fractional occurrence of snow
100,FSDS            ,W/m2               ,2D,Downwelling solar flux at surface
101,FSDSC           ,W/m2               ,2D,Clearsky downwelling solar flux at surface
102,FSNS            ,W/m2               ,2D,Net solar flux at surface
103,FSNSC           ,W/m2               ,2D,Clearsky net solar flux at surface
104,FSNT            ,W/m2               ,2D,Net solar flux at top of model
105,FSNTC           ,W/m2               ,2D,Clearsky net solar flux at top of model
106,FSNTOA          ,W/m2               ,2D,Net solar flux at top of atmosphere
107,FSNTOAC         ,W/m2               ,2D,Clearsky net solar flux at top of atmosphere
108,FSUTOA          ,W/m2               ,2D,Upwelling solar flux at top of atmosphere
109,FSUTOAC         ,W/m2               ,2D,Clearsky upwelling solar flux at top of atmosphere
110,F_eff           ,1,2D,Effective enrichment factor of marine organic matter
111,H2O2_SRF        ,mol/mol            ,2D,H2O2 in bottom layer
112,H2SO4_SRF       ,mol/mol            ,2D,H2SO4 in bottom layer
113,H2SO4_sfgaex1   ,kg/m2/s            ,2D,H2SO4 gas-aerosol-exchange primary column tendency
114,ICEFRAC         ,fraction           ,2D,Fraction of sfc area covered by sea-ice
115,ICIMR           ,kg/kg              ,3D,Prognostic in-cloud ice mixing ratio
116,ICWMR           ,kg/kg              ,3D,Prognostic in-cloud water mixing ratio
117,IEFLX           ,W/m2               ,2D,Implied internal energy flux
118,IWC             ,kg/m3              ,3D,Grid box average ice water content
119,IWPMODIS        ,kg m-2             ,2D,MODIS Cloud Ice Water Path*CLIMODIS
120,LANDFRAC        ,fraction           ,2D,Fraction of sfc area covered by land
121,LHFLX           ,W/m2               ,2D,Surface latent heat flux
122,LINOZ_DO3       ,/s                 ,3D,ozone vmr tendency by linearized ozone chemistry
123,LINOZ_DO3_PSC   ,/s                 ,3D,ozone vmr loss by PSCs using Carille et al. (1990)
124,LINOZ_O3CLIM    ,mol/mol            ,3D,climatology of ozone in LINOZ
125,LINOZ_O3COL     ,DU                 ,3D,ozone column above
126,LINOZ_SSO3      ,kg                 ,3D,steady state ozone in LINOZ
127,LINOZ_SZA       ,degrees            ,2D,solar zenith angle in LINOZ
128,LND_MBL         ,frac               ,2D,Soil erodibility factor
129,LWCF            ,W/m2               ,2D,Longwave cloud forcing
130,LWPMODIS        ,kg m-2             ,2D,MODIS Cloud Liquid Water Path*CLWMODIS
131,MEANCLDALB_ISCCP,1,2D,Mean cloud albedo*CLDTOT_ISCCP
132,MEANPTOP_ISCCP  ,Pa                 ,2D,Mean cloud top pressure*CLDTOT_ISCCP
133,MEANTAU_ISCCP   ,1,2D,Mean optical thickness*CLDTOT_ISCCP
134,MEANTBCLR_ISCCP ,K                  ,2D,Mean Clear-sky Infrared Tb from ISCCP simulator
135,MEANTB_ISCCP    ,K                  ,2D,Mean Infrared Tb from ISCCP simulator
136,Mass_bc         ,kg/kg              ,3D,sum of bc mass concentration bc_a1+bc_c1+bc_a3+bc_c3+bc_a4+bc_c4
137,Mass_dst        ,kg/kg              ,3D,sum of dst mass concentration dst_a1+dst_c1+dst_a3+dst_c3
138,Mass_mom        ,kg/kg              ,3D,sum of mom mass concentration mom_a1+mom_c1+mom_a2+mom_c2+mom_a3+mom_c3+mom_a4+mom_c4
139,Mass_ncl        ,kg/kg              ,3D,sum of ncl mass concentration ncl_a1+ncl_c1+ncl_a2+ncl_c2+ncl_a3+ncl_c3
140,Mass_pom        ,kg/kg              ,3D,sum of pom mass concentration pom_a1+pom_c1+pom_a3+pom_c3+pom_a4+pom_c4
141,Mass_so4        ,kg/kg              ,3D,sum of so4 mass concentration so4_a1+so4_c1+so4_a2+so4_c2+so4_a3+so4_c3
142,Mass_soa        ,kg/kg              ,3D,sum of soa mass concentration soa_a1+soa_c1+soa_a2+soa_c2+soa_a3+soa_c3
143,NUMICE          ,1/kg               ,3D,Grid box averaged cloud ice number
144,NUMLIQ          ,1/kg               ,3D,Grid box averaged cloud liquid number
145,NUMRAI          ,1/kg               ,3D,Grid box averaged rain number
146,NUMSNO          ,1/kg               ,3D,Grid box averaged snow number
147,O3              ,mol/mol            ,3D,O3 concentration
148,O3_SRF          ,mol/mol            ,2D,O3 in bottom layer
149,OCNFRAC         ,fraction           ,2D,Fraction of sfc area covered by ocean
150,OMEGA           ,Pa/s               ,3D,Vertical velocity (pressure)
151,OMEGA500        ,Pa/s               ,2D,Vertical velocity at 500 mbar pressure surface
152,OMEGAT          ,K Pa/s             ,3D,Vertical heat flux
153,PBLH            ,m                  ,2D,PBL height
154,PCTMODIS        ,Pa                 ,2D,MODIS Cloud Top Pressure*CLTMODIS
155,PHIS            ,m2/s2              ,2D,Surface geopotential
156,PRECC           ,m/s                ,2D,Convective precipitation rate (liq + ice)
157,PRECL           ,m/s                ,2D,Large-scale (stable) precipitation rate (liq + ice)
158,PRECSC          ,m/s                ,2D,Convective snow rate (water equivalent)
159,PRECSL          ,m/s                ,2D,Large-scale (stable) snow rate (water equivalent)
160,PS              ,Pa                 ,2D,Surface pressure
161,PSL             ,Pa                 ,2D,Sea level pressure
162,Q               ,kg/kg              ,3D,Specific humidity
163,QFLX            ,kg/m2/s            ,2D,Surface water flux
164,QREFHT          ,kg/kg              ,2D,Reference height humidity
165,QRL             ,K/s                ,3D,Longwave heating rate
166,QRS             ,K/s                ,3D,Solar heating rate
167,RAINQM          ,kg/kg              ,3D,Grid box averaged rain amount
168,RAM1            ,frac               ,2D,RAM1
169,REFFCLIMODIS    ,m                  ,2D,MODIS Ice Cloud Particle Size*CLIMODIS
170,REFFCLWMODIS    ,m                  ,2D,MODIS Liquid Cloud Particle Size*CLWMODIS
171,RELHUM          ,percent            ,3D,Relative humidity
172,SFDMS           ,kg/m2/s            ,2D,DMS surface flux
173,SFH2O2          ,kg/m2/s            ,2D,H2O2 surface flux
174,SFH2SO4         ,kg/m2/s            ,2D,H2SO4 surface flux
175,SFO3            ,kg/m2/s            ,2D,O3 surface flux
176,SFSO2           ,kg/m2/s            ,2D,SO2 surface flux
177,SFSOAG          ,kg/m2/s            ,2D,SOAG surface flux
178,SFbc_a1         ,kg/m2/s            ,2D,bc_a1 surface flux
179,SFbc_a3         ,kg/m2/s            ,2D,bc_a3 surface flux
180,SFbc_a4         ,kg/m2/s            ,2D,bc_a4 surface flux
181,SFdst_a1        ,kg/m2/s            ,2D,dst_a1 surface flux
182,SFdst_a3        ,kg/m2/s            ,2D,dst_a3 surface flux
183,SFmom_a1        ,kg/m2/s            ,2D,mom_a1 surface flux
184,SFmom_a2        ,kg/m2/s            ,2D,mom_a2 surface flux
185,SFmom_a3        ,kg/m2/s            ,2D,mom_a3 surface flux
186,SFmom_a4        ,kg/m2/s            ,2D,mom_a4 surface flux
187,SFncl_a1        ,kg/m2/s            ,2D,ncl_a1 surface flux
188,SFncl_a2        ,kg/m2/s            ,2D,ncl_a2 surface flux
189,SFncl_a3        ,kg/m2/s            ,2D,ncl_a3 surface flux
190,SFnum_a1        , 1/m2/s            ,2D,num_a1 surface flux
191,SFnum_a2        , 1/m2/s            ,2D,num_a2 surface flux
192,SFnum_a3        , 1/m2/s            ,2D,num_a3 surface flux
193,SFnum_a4        , 1/m2/s            ,2D,num_a4 surface flux
194,SFpom_a1        ,kg/m2/s            ,2D,pom_a1 surface flux
195,SFpom_a3        ,kg/m2/s            ,2D,pom_a3 surface flux
196,SFpom_a4        ,kg/m2/s            ,2D,pom_a4 surface flux
197,SFso4_a1        ,kg/m2/s            ,2D,so4_a1 surface flux
198,SFso4_a2        ,kg/m2/s            ,2D,so4_a2 surface flux
199,SFso4_a3        ,kg/m2/s            ,2D,so4_a3 surface flux
200,SFsoa_a1        ,kg/m2/s            ,2D,soa_a1 surface flux
201,SFsoa_a2        ,kg/m2/s            ,2D,soa_a2 surface flux
202,SFsoa_a3        ,kg/m2/s            ,2D,soa_a3 surface flux
203,SHFLX           ,W/m2               ,2D,Surface sensible heat flux
204,SH_KCLDBASE     ,1,2D,Shallow conv. cloudbase level index
205,SH_MFUP_MAX     ,kg/m2              ,2D,Shallow conv. column-max updraft mass flux
206,SH_WCLDBASE     ,m/s                ,2D,Shallow conv. cloudbase vertical velocity
207,SNOWHICE        ,m                  ,2D,Snow depth over ice
208,SNOWHLND        ,m                  ,2D,Water equivalent snow depth
209,SNOWQM          ,kg/kg              ,3D,Grid box averaged snow amount
210,SO2             ,mol/mol            ,3D,SO2 concentration
211,SO2_CLXF        ,molec/cm2/s        ,2D,vertically intergrated external forcing for SO2
212,SO2_SRF         ,mol/mol            ,2D,SO2 in bottom layer
213,SOAG_CLXF       ,molec/cm2/s        ,2D,vertically intergrated external forcing for SOAG
214,SOAG_SRF        ,mol/mol            ,2D,SOAG in bottom layer
215,SOAG_sfgaex1    ,kg/m2/s            ,2D,SOAG gas-aerosol-exchange primary column tendency
216,SOLIN           ,W/m2               ,2D,Solar insolation
217,SSAVIS          ,1,2D,Aerosol singel-scatter albedo
218,SSTSFMBL        ,kg/m2/s            ,2D,Mobilization flux at surface
219,SSTSFMBL_OM     ,kg/m2/s            ,2D,Mobilization flux of marine organic matter at surface
220,SWCF            ,W/m2               ,2D,Shortwave cloud forcing
